id,headline,subheading,body,generated_subheading
uk-england-birmingham-11726541,Birmingham Symphony Orchestra in 90th birthday event,A special birthday concert is taking place to celebrate the 90th anniversary of the City of Birmingham Symphony Orchestra (CBSO).,"The event at the city's Symphony Hall will be held to mark the anniversary of Sir Edward Elgar conducting its inaugural Symphony concert. The CBSO will perform his Violin Concerto as part of Wednesday evening's event. The charity is core funded by Arts Council England and the city council. 'Next generation' The special concert will include Strauss's Suite from Der Rosenkavalier and Haydn's Symphony No. 90. Audience members have been invited to join the music director, Latvian Andris Nelsons, and the orchestra for a special birthday party. Mr Nelsons became music director in 2008, following in the footsteps of Adrian Boult, Louis Fremaux and Sir Simon Rattle. He will continue Birmingham's Mahler cycle with four performances of the composer's Symphony No. 5. Two will be held in the city on 23 and 24 November with two taking place in his home city of Riga on 26 and 27 November on the CBSO's first ever trip to Latvia. The orchestra, which had Symphony added to its name in 1948, held its first concert at Birmingham Town Hall and performed the majority of its concerts there from 1920 to 1991. The CBSO has five choruses, a youth orchestra and an education and outreach programme which ""reaches out to the next generation of music lovers"", it said. Birthday celebrations started with more than 30 concerts being held at schools in October. Wednesday evening's concert will be repeated on Thursday.",event at the city's Symphony Hall will be held to mark the anniversary of Sir Edward Elgar conducting its inaugural Sympony concert. The CBSO will perform his V
uk-england-tees-52229187,Truck reversed into Hartlepool house and set ablaze,Two men who backed a truck into the front of a property and set it on fire are being sought by Cleveland Police.,"The householder in Serpentine Gardens, Hartlepool, was watching TV on Tuesday evening when he heard a loud bang and an explosion. He saw black smoke billowing from the front of flatbed truck and two balaclava-clad men running to another vehicle, which then drove off. No-one was hurt but there substantial structural damage to the property, The truck is described as a white Ford flatbed with a cage on the back. The men, who escaped in a light-coloured vehicle, were wearing black clothing and balaclavas. Anyone with information about the incident at about 19:45 BST is asked to contact Cleveland Police.","ouseholder in Serpentine Gardens, Hartlepool, was watching TV on Tuesday evening when he heard a loud bang and an explosion. He saw black smoke billowing from the front"
uk-37239256,Thousands of children reported over indecent images,"More than 2,000 children were reported to police in three years over indecent images, the NSPCC says.","The children's charity submitted a Freedom of Information request spanning 2013-15 to police across the UK. This showed 2,031 under-18s were reported for crimes linked to the possession, distribution, or production of indecent images of children. NSPCC chief executive Peter Wanless said children had to be educated about staying safe both offline and online. The law states that making or sharing indecent photographs of anyone aged under the age of 18 could be classed as an offence - but there have been calls for recording rules to be adapted so children are not routinely criminalised. The NSPCC sent the 45 police forces across the UK an FOI in May, and found the total offences of this nature recorded, regardless of age, were 4,530 in 2013, 6,303 in 2014, and 10,818 in 2015. Not all police forces provided age breakdowns, but for those which did, there were 11,697 investigations where the age of the defendant was recorded and 2,031 were under the age of 18. Image 'explosion' The charity also said that, of the 1,000 parents and carers from across the UK who took part in a recent online survey, only half of parents knew that children taking nude selfies were committing a crime. Mr Wanless said recent advances in digital technology has fuelled an ""explosion in the production and consumption of child sexual abuse images"" that increasingly involves live video streaming. He added: ""As well as pursuing and deterring adults who make and distribute these we must educate children about how to keep themselves safe online and offline and how to get help as soon as grooming or abuse happens. ""And every child who is the victim of exploitation and abuse should get the support they need to rebuild their lives."" And he said that the internet industry must prioritise this issue by working with the public and voluntary sector. In September, the BBC learned that a boy who sent a naked photograph of himself to a girl at school had the crime of making and distributing indecent images recorded against him by police. The boy, aged 14, who was not arrested or charged, could have his name stored on a police database for 10 years.","children's charity submitted a Freedom of Information request spanning 2013-15 to police across the UK. This showed 2,031 under-18s were reported for crimes linked to the poss"
science-environment-40889934,Climate change has shifted the timing of European floods,"Climate change has had a significant impact on the timing of river floods across Europe over the past 50 years, according to a new study.","By Matt McGrathEnvironment correspondent In some regions, such as southern England, floods are now occurring 15 days earlier than they did half a century ago. But the changes aren't uniform, with rivers around the North Sea seeing floods delayed by around eight days. The study has been published in the journal Science. Floods caused by rivers impact more people than any other natural hazard, and the estimated global damages run to over a $100bn a year. Researchers have long predicted that a warming world would have direct impacts on these events but until now the evidence has been hard to establish. Floods are affected by many different factors in addition to rainfall, such as the amount of moisture already in the soil and other questions such as changes in land-use that can speed up water run-off from hillsides. This new study looks at this issue in some depth, by creating a Europe-wide database of observations from 4,262 hydrometric stations in 38 countries, dating back to 1960. The analysis finds a clear but complex impact of climate change on river flooding. The most consistent changes are in north-eastern Europe around Scandinavia where earlier snow melt due to warmer temperatures is leading to earlier spring floods. Around 50% of monitoring stations are seeing floods eight days earlier than they did 50 years ago. The biggest changes are seen along the western edge of Europe, from Portugal up to Southern England. Half the stations recorded floods at least 15 days earlier than previously. A quarter of the stations saw flooding more than 36 days earlier than in 1960. In these regions, the issue isn't snow melt - it's more about saturated soils. Maximum rainfall tends to occur in the autumn and gets stored in the soils. Heavier and earlier rain means that the groundwater reaches capacity earlier. ""It's the interplay between extreme rainfall and the abundance of rainfall,"" lead author Prof Günter Blöschl, from the Technical University of Vienna, told BBC News. ""In southern England, it has been raining more, longer and more intensely than in the past. This has created a rising groundwater table and higher soil moisture than usual and combined with intense rainfall this produces earlier river floods."" However, around the North Sea, in the Netherlands, Denmark and Scotland, the trend is towards later floods. The scientists believe this is due to changes in the North Atlantic Oscillation (NAO), the weather phenomenon that pushes storms across the ocean into Europe. The NAO is driven by differences in atmospheric pressure between the North Pole and the Equator. Recent, rapid changes in temperatures in the Arctic are interfering with these pressure levels and changing the track of the oscillation and storms as well. According to this study, the storms are arriving later and as a result some river flooding happens later too. Prof Blöschl says that this study shows clear evidence of the impact of human-induced climate change in many regions - but there are still some areas of uncertainty. ""Where the human imprint is obvious is in the northeast of Europe. It is quite a direct link, with a warming climate and earlier snow melt,"" he said. ""However, the areas impacted by the NAO are more difficult to attribute to anthropogenic global warming. The jury is still out on that aspect."" The study foresees subtle but significant impacts that could arise from the change in flood timing. There could be effects on river ecosystems with salmon spawning later in the year. There could also be implications for hydropower stations, and for agriculture if fields stay wetter for longer. ""The more serious concern is that if warming impacts the seasonality it may also impact the scale of flooding,"" said Prof Blöschl. ""You could think of timing changes as the harbinger of future changes of flood magnitude. That is the more serious concern. If that happens, flood risk management will have to adapt and that will be different in different parts of Europe."" Other experts believe that the changes in flood timing identified by this study have significant implications for how we understand the risk of river floods and how we deal with them. ""Nearly every major city and town in Europe is built on a river and we protect this urban infrastructure by using past floods as a gauge of the potential risk,"" said Mark Maslin, Professor of Climatology at University College London. ""The study shows that this approach underestimates the risk, as climate change has made European floods occur earlier in the year, increasing their potential impact. ""This means all the infrastructure that we have built to protect our cities needs to be reviewed as much of it will be inadequate to protect us from future climate change-induced extreme flooding."" Follow Matt on Twitter and on Facebook.","ks at this issue in some depth, by creating a Europe-wide database of observations from 4,262 hydrometric stations in 38 countries, dating back to 1960. The analysis"
uk-28270337,India drops arms charges against British crew of MV Seaman Guard Ohio,"Six British former servicemen who spent months in an Indian prison have had arms charges against them dropped, the Mission to Seafarers has said.","The MV Seaman Guard Ohio crew were accused of illegally possessing weapons after they were arrested last October while working on a private US-owned ship providing anti-piracy protection. Five of the six were bailed in April, but could not leave India. The charity hopes all six men will be reunited with their families soon. The Mission's director of justice and public affairs, Ken Peters, said: ""Following the judgement, we hope that the crew will be reunited with their families in the next week to 10 days, and we will continue to provide any support or advice necessary."" Detention The men were part of a 35-strong crew on board the ship when it was detained last year. While all the charges against them have been dropped, the Ukrainian captain of the ship is still facing charges of illegal bunkering, a spokeswoman for the Mission added. Billy Irving, from Connel, Argyll; Nick Dunn, from Ashington, Northumberland; Ray Tindall from Chester; Paul Towers from Pocklington, Yorkshire; John Armstrong from Wigton, Cumbria, and Nicholas Simpson, from Catterick, North Yorkshire, were arrested on 12 October last year. They were held in an Indian prison between October and April, prompting their families to petition Prime Minister David Cameron for their release. All of the men, apart from Mr Towers, were released on bail in April. Now the charges against them have been dropped, the Mission said, paving the way for them to return to the UK. Weapon store They were working for AdvanFort providing anti-piracy protection in the Indian Ocean when their ship was detained. The Indian authorities had said they had intercepted the US ship and found weapons and ammunition on board which had not been properly declared. AdvanFort said India's coastguard and police had allowed the ship into the port to refuel and shelter from a storm. It said all weapons had been properly registered. AdvanFort CEO Sam Farajallah said on Friday: ""This has been a long waited for decision and we'd like to thank everyone who had continuous faith in us, offered support and helped us get through this challenge."" A spokesman for the Home Office said: ""We are aware of reports of a court decision to quash the charges against the 6 British nationals. We are urgently seeking official clarification.""","been dropped, the Ukrainian captain of the ship is still facing charges of illegal bunkering, a spokeswoman for the Mission added. Billy Irving, from Connel, Argyl"
uk-england-lincolnshire-45547720,Veteran's walking challenge takes on RAF stations,A former soldier has embarked on his latest fundraising walk by tackling 100 miles across 10 different RAF stations to raise cash for forces charities.,"Jeffrey Long, 86, started on Sunday at Catterick and RAF Leeming in North Yorkshire and on Monday he walked 10 miles at RAF Scampton. Ex-paratrooper Mr Long raised £120,000 last year and found fame when comedian Jason Manford retweeted his appeal. The RAF benevolent fund and Support Our Paras will benefit from the walk. More news across Lincolnshire here He said: ""The Paras have a relationship with the RAF, they are very good to us. ""They give us a flight then they show us the door! ""It made perfect sense to me to support this wonderful charity, in the year of the RAF's centenary as well as the Paras' charity, of course."" Mr Long, from Bingley, West Yorkshire, began fundraising 11 years ago when he walked 650 miles from London to Lausanne in Switzerland. Since then he has completed Liverpool to Leeds, Hadrian's Wall and the Three Peaks Challenge. He added: ""I shouldn't have to be doing this at nearly 87 years old. ""I shouldn't have to be drawing attention to, and raise money for, the troops but I am doing. ""Somebody's got to look after the troops"". In October 2017, Paula Modeste posted a selfie with Jeffrey Long at Windsor train station after chatting about his Thames trek. At that point, Mr Long had raised £300, but Mr Manford spotted the post and shared it with his fans. Mr Long's itinerary:","남자가ffrey Long, 86, started on Sunday at Catterick and RAF Leeming in North Yorkshire and on Monday he walked 10 miles at RAF Scampton. Ex-paratrooper Mr Long raised £"
education-42707654,Is social mobility really about school cash?,"If you took a list of the top 20 places in England where schools have the most funding, 18 of them would be in London.","Sean CoughlanEducation correspondent And if you took another list, of the top 20 places with the highest level of social mobility, 17 of them would also be in London. Is that a coincidence? Head teachers in the Worth Less? campaign over school funding shortages say that if the government is serious about promoting social mobility in education, then it needs to look at how low funding seems to mirror low mobility. West Somerset has the lowest place on the government's social mobility index - and is also one of the lowest-funded areas. The Worth Less? campaign, which has brought together about 5,000 schools over the issue of fair funding, has produced an analysis showing that a secondary school in West Somerset would receive £2m less per year than a similar sized school in Westminster. Westminster, in the top 10 for funding, is rated as giving its disadvantaged young people the highest chance of social mobility in the country. And a key aspect of the success of London's schools has been that poorer youngsters, such as those eligible for free school meals, do much better in the capital than elsewhere. Funding gaps Of course, there are many other crosswinds in such a complex topic. Schools in London get more funding because they have bigger challenges - extra costs because of their location and extra demands, such as high levels of deprivation and many pupils speaking English as a second language. It has often been claimed that London has its own demographic microclimate, with many migrant families arriving with high ambitions for their children. But head teachers argue that there's no escaping the overlap between social mobility and financial support. None of the lowest-funded 20 authorities makes it into the top 50 for social mobility. And the top 10s for funding and social mobility are shuffling very similar packs. Top 10 for funding Top 10 for social mobility Jules White, a head teacher from West Sussex who has co-ordinated the Worth Less? school funding campaign, is calling for a much closer look at what the variation in funding really means for those outside the capital. The funding gap between West Somerset and Westminster, for an individual school, is the equivalent of dozens of extra teaching staff, after-school clubs, university links, careers advice and support for pupils who are struggling. And these are exactly the kinds of added extras that could improve social mobility. Mr White, speaking at a Westminster Education Forum event on school funding, has broken down the figures to per-pupil spending. Barnsley, near the bottom for social mobility, has £4,729 for each secondary pupil, while Hackney, in the top five for social mobility, receives £7,840. How much could schools in Barnsley help their young people with an extra £1,000 per term for each of them? Or what more progress could be supported in other areas on the bottom rungs for funding, such as York, Leicestershire and West Sussex. But it's not always such a neat match between funding and social mobility. Nottingham and Manchester are among areas that are relatively well-funded, but don't do particularly well on social mobility. Tightrope act The Westminster forum on funding heard warnings that the answer was not taking money from schools in the capital. A chair of governors from a secondary school in Lambeth said that the changes proposed in the new national funding formula would leave them with a budget deficit heading towards £500,000, which could only be resolved by significant cuts in the teaching staff. Valentine Mulholland, of the National Association of Head Teachers, said the funding squeeze had already meant the loss of jobs for teaching and support staff. And a study from the National Foundation for Educational Research (NFER) suggested higher spending particularly benefited disadvantaged pupils. New Education Secretary Damian Hinds has made a priority of social mobility - but he will also have to make some big decisions about the pressure over school funding. The Department for Education has consistently argued that there are record levels of funding - and the NFER's Ben Durbin agreed that by international standards, England's schools are relatively well-funded. The political tightrope act for ministers is to push more cash to the less well-funded areas without damaging those schools performing well in better-funded places. But the head teachers are arguing that funding and social mobility should no longer be seen as separate conversations.","남자가an CoughlanEducation correspondent And if you took another list, of the top 20 places with the highest level of social mobility, 17 of them would also be in London. I"
uk-england-manchester-13699084,Macclesfield's Richard Butcher died from heart condition,"A professional footballer who was found dead in his bed died from a rare heart condition, a coroner has ruled.","Macclesfield Town midfielder Richard Butcher was discovered dead at his flat in Swinton, Salford in January. The Northampton-born player, 29, had suffered chest pains in the past three years, Bolton Coroner's Court heard. In a narrative verdict, assistant deputy coroner Peter Watson said Mr Butcher died from natural causes due to a naturally occurring heart condition. ""All deaths are tragic but especially in cases with someone so young and on the face of things he was a very fit and healthy young man, it is so sad that on the balance of probabilities he died from this cardiac condition,"" Mr Watson said. 'Fit and professional' A post-mortem examination showed he died of natural causes and there were no signs of heart disease. The player suffered from the condition cardiac arrhythmia - where the heart either beats too slow or too fast. Mr Butcher's wife Sarah told the hearing he ""dedicated his career to maintaining his health and fitness"". ""He used to delight in that the younger players would remark on how fit and professional he was,"" she said. Mrs Butcher said her husband had complained of chest pains on and off for about three years. ""Every now and then he would clutch his chest and then the pain would disappear,"" she said. 'No pain' ""He would say 'I'm so fit and healthy, it's fine' and he would dismiss it really."" He underwent a series of heart tests in Lincoln in November 2009, after collapsing after a night out when he had only drunk three bottles of beer. Mrs Butcher said that he clutched his chest while working on a university assignment at his computer three days before his death, but again had shrugged it off. Pathologist Dr Simon Suvarna said such deaths were rare and that either they occurred with no warning or with previous symptoms of fainting episodes. Chest pains were not common as an indicator, he said. He said the death may have happened while Mr Butcher was asleep or had just woken but he would not have been aware or felt any pain. Mr Butcher, who also played for Kettering, Oldham, Peterborough, Notts County and Lincoln City, was described by Macclesfield Town as ""a total role model for young professionals"". The club, where he had played for a year, were concerned when he did not arrive for training on 10 January. He was later found dead. Paying tribute, his father Richard said: ""He was a lovely, lovely lad. As fit as anything. ""He always wanted to be a footballer, like every schoolboy does."" His brother Glenn added: ""I couldn't imagine him doing another job. He tried a couple of times having normal jobs but he never lasted more than a day."" Mr Butcher had planned to become a physiotherapist after his playing days, his family said.","acclesfield Town midfielder Richard Butcher was discovered dead at his flat in Swinton, Salford in January. The Northampton-born player, 29, had suffreered chest"
business-36311126,UK inflation rate falls on cheaper air fares,"The UK's inflation rate fell in April for the first time since September, largely because of cheaper air fares after the Easter holidays.","The Office for National Statistics (ONS) said the rate, as measured by the Consumer Prices Index, fell to 0.3%. The ONS said the main causes were falls in the prices of air fares, vehicles, clothing and social housing rents. The Bank of England said last week that it expected inflation to increase in the second half of the year. By far the largest downward effect in April came from air transport, with prices falling by 14.2%, compared with a rise of 4.5% between the same two months last year. This was influenced by the timing of the Easter holidays in March. Fare prices increased dramatically between February and March this year and then fell sharply in April. The price of clothing and footwear also fell as retailers dropped prices to try to revive sales hit by last month's cold weather. An alternative inflation measure, the Retail Prices Index, which is still used to index some rents and pensions, also fell from an annual rate of 1.6% in March to 1.3% in April. Meanwhile core inflation, which strips out energy, food, alcohol and tobacco, fell to 1.2%, compared with economists' expectations for 1.4%. Interest rates Last week, the governor of the Bank of England, Mark Carney, had to write his sixth letter to the Chancellor George Osborne explaining why CPI inflation was still below the Bank's 2% target. In it he said: ""The underlying causes of the below-target inflation of the past year and a half have been: sharp falls in commodity prices, the past appreciation of sterling, and to a lesser degree the subdued pace of domestic cost growth."" The Bank of England's Monetary Policy Committee (MPC) voted last week to keep interest rates unchanged at the record low of 0.5%. The Bank is not expected to raise rates until at least next year. Martin Beck, senior economic advisor to the EY Item Club, said: ""We are likely to see inflation remain close to current rates until the latter part of the year, when the base effects associated with last winter's collapse in the oil price will begin to kick in and finally drag the CPI measure above 1%. Such a benign outlook is likely to stay the MPC's hand until well into next year."" In a separate report, the ONS said that there had been a surge in house prices as landlords rushed to buy before higher stamp duty was imposed. UK average house prices increased by 9.0% over the year to March 2016, up from 7.6% in the year to February 2016. The pound lost about half a cent against the dollar immediately after the figures were released, but then recovered to stand at $1.4483, a gain on the day of more than 0.5%.","Office for National Statistics (ONS) said the rate, as measured by the Consumer Prices Index, fell to 0.3%. The ONS said the main causes were falls in the prices of air fares, vehicl"
uk-england-wiltshire-51383435,Driver reverses car through front door of Wiltshire house,An elderly woman has reversed a car through the front door of a house.,"She wedged the vehicle into the front of the property in a village near Devizes in Wiltshire on Tuesday morning. Firefighters took two hours to rescue her and got her out from the back of the car. She was treated at the scene by the South Western Ambulance Service. A spokesman for Devizes Fire Station said it had been ""tricky"" to free the trapped driver. A building control officer had been requested to check the building, Dorset and Wiltshire Fire and Rescue Service said. Related Internet Links Dorset and Wiltshire Fire Service South Western Ambulance Service",lage near Devizes in Wiltshire on Tuesday morning. Firefighters took two hours to rescue her and got her out from the back of the car. She was treated at the scene by the S
