id,headline,subheading,body
uk-england-birmingham-11726541,Birmingham Symphony Orchestra in 90th birthday event,A special birthday concert is taking place to celebrate the 90th anniversary of the City of Birmingham Symphony Orchestra (CBSO).,"The event at the city's Symphony Hall will be held to mark the anniversary of Sir Edward Elgar conducting its inaugural Symphony concert. The CBSO will perform his Violin Concerto as part of Wednesday evening's event. The charity is core funded by Arts Council England and the city council. 'Next generation' The special concert will include Strauss's Suite from Der Rosenkavalier and Haydn's Symphony No. 90. Audience members have been invited to join the music director, Latvian Andris Nelsons, and the orchestra for a special birthday party. Mr Nelsons became music director in 2008, following in the footsteps of Adrian Boult, Louis Fremaux and Sir Simon Rattle. He will continue Birmingham's Mahler"
uk-england-tees-52229187,Truck reversed into Hartlepool house and set ablaze,Two men who backed a truck into the front of a property and set it on fire are being sought by Cleveland Police.,"The householder in Serpentine Gardens, Hartlepool, was watching TV on Tuesday evening when he heard a loud bang and an explosion. He saw black smoke billowing from the front of flatbed truck and two balaclava-clad men running to another vehicle, which then drove off. No-one was hurt but there substanti"
uk-37239256,Thousands of children reported over indecent images,"More than 2,000 children were reported to police in three years over indecent images, the NSPCC says.","The children's charity submitted a Freedom of Information request spanning 2013-15 to police across the UK. This showed 2,031 under-18s were reported for crimes linked to the possession, distribution, or production of indecent images of children. NSPCC chief executive Peter Wanless said children had to be educated about staying safe both offline and online. The law states that making or sharing indecent photographs of anyone aged under the age of 18 could be classed as an offence - but there have been calls for recording rules to be adapted so children are not routinely criminalised. The NSPCC sent the 45 police forces across the UK an FOI in May, and found the total offences of this nature recorded, regardless of age, were 4,530 in 2013, 6,303 in 2014, and 10,818 in 2015. Not all police forces provided age breakdowns, but for those which did, there were 11,697 investigations where the age of the defendant was recorded and 2,031 were under the age of 18. Image 'explosion' The charity also said that, of the 1,000 parents and carers from across the UK who"
science-environment-40889934,Climate change has shifted the timing of European floods,"Climate change has had a significant impact on the timing of river floods across Europe over the past 50 years, according to a new study.","By Matt McGrathEnvironment correspondent In some regions, such as southern England, floods are now occurring 15 days earlier than they did half a century ago. But the changes aren't uniform, with rivers around the North Sea seeing floods delayed by around eight days. The study has been published in the journal Science. Floods caused by rivers impact more people than any other natural hazard, and the estimated global damages run to over a $100bn a year. Researchers have long predicted that a warming world would have direct impacts on these events but until now the evidence has been hard to establish. Floods are affected by many different factors in addition to rainfall, such as the amount of moisture already in the soil and other questions such as changes in land-use that can speed up water run-off from hillsides. This new study looks at this issue in some depth, by creating a Europe-wide database of observations from 4,262 hydrometric stations in 38 countries, dating back to 1960. The analysis finds a clear but complex impact of climate change on river flooding. The most consistent changes are in north-eastern Europe around Scandinavia where earlier snow melt due to warmer temperatures is leading to earlier spring floods. Around 50% of monitoring stations are seeing floods eight days earlier than they did 50 years ago. The biggest changes are seen along the western edge of Europe, from Portugal up to Southern England. Half the stations recorded floods at least 15 days earlier than previously. A quarter of the stations saw flooding more than 36 days earlier than in 1960. In these regions, the issue isn't snow melt - it's more about saturated soils. Maximum rainfall tends to occur in the autumn and gets stored in the soils. Heavier and earlier rain means that the groundwater reaches capacity earlier. ""It's the interplay between extreme rainfall and the abundance of rainfall,"" lead author Prof Günter Blöschl, from the Technical University of Vienna, told BBC News. ""In southern England, it has been raining more, longer and more intensely than in the past. This has created a rising groundwater table and higher soil moisture than usual and combined with intense rainfall this produces earlier river floods."" However, around the North Sea, in the Netherlands, Denmark and Scotland, the trend is towards later floods. The scientists believe this is due to changes in the North At"
uk-28270337,India drops arms charges against British crew of MV Seaman Guard Ohio,"Six British former servicemen who spent months in an Indian prison have had arms charges against them dropped, the Mission to Seafarers has said.","The MV Seaman Guard Ohio crew were accused of illegally possessing weapons after they were arrested last October while working on a private US-owned ship providing anti-piracy protection. Five of the six were bailed in April, but could not leave India. The charity hopes all six men will be reunited with their families soon. The Mission's director of justice and public affairs, Ken Peters, said: ""Following the judgement, we hope that the crew will be reunited with their families in the next week to 10 days, and we will continue to provide any support or advice necessary."" Detention The men were part of a 35-strong crew on board the ship when it was detained last year. While all the charges against them have been dropped, the Ukrainian captain of the ship is still facing charges of illegal bunkering, a spokeswoman for the Mission added. Billy Irving, from Connel, Argyll; Nick Dunn, from Ashington, Northumberland; Ray Tindall from Chester; Paul Towers from Pocklington, Yorkshire; John Armstrong from Wigton, Cumbria, and Nicholas Simpson, from Catterick, North Yorkshire, were arrested on 12 October last year. They were held in a"
uk-england-lincolnshire-45547720,Veteran's walking challenge takes on RAF stations,A former soldier has embarked on his latest fundraising walk by tackling 100 miles across 10 different RAF stations to raise cash for forces charities.,"Jeffrey Long, 86, started on Sunday at Catterick and RAF Leeming in North Yorkshire and on Monday he walked 10 miles at RAF Scampton. Ex-paratrooper Mr Long raised £120,000 last year and found fame when comedian Jason Manford retweeted his appeal. The RAF benevolent fund and Support Our Paras will benefit from the walk. More news across Lincolnshire here He said: ""The Paras have a relationship with the RAF, they are very good to us. ""They give us a flight then they show us the door! ""It made perfect sense to me to support this wonderful charity, in the year of the RAF's centenary as well as the Paras' charity, of course."" Mr Long, from Bingley, West"
education-42707654,Is social mobility really about school cash?,"If you took a list of the top 20 places in England where schools have the most funding, 18 of them would be in London.","Sean CoughlanEducation correspondent And if you took another list, of the top 20 places with the highest level of social mobility, 17 of them would also be in London. Is that a coincidence? Head teachers in the Worth Less? campaign over school funding shortages say that if the government is serious about promoting social mobility in education, then it needs to look at how low funding seems to mirror low mobility. West Somerset has the lowest place on the government's social mobility index - and is also one of the lowest-funded areas. The Worth Less? campaign, which has brought together about 5,000 schools over the issue of fair funding, has produced an analysis showing that a secondary school in West Somerset would receive £2m less per year than a similar sized school in Westminster. Westminster, in the top 10 for funding, is rated as giving its disadvantaged young people the highest chance of social mobility in the country. And a key aspect of the success of London's schools has been that poorer youngsters, such as those eligible for free school meals, do much better in the capital than elsewhere. Funding gaps Of course, there are many other crosswinds in such a complex topic. Schools in London get more funding because they have bigger challenges - extra costs because of their location and extra demands, such as high levels of deprivation and many pupils speaking English as a second language. It has often been claimed that London has its own demographic microclimate, with many migrant families arriving with high ambitions for their children. But head teachers argue that there's no escaping the overlap between social mobility and financial support. None of the lowest-funded 20 authorities makes it into the top 50 for social mobility. And the top 10s for funding and social mobility are shuffling very similar packs. Top 10 for funding Top 10 for social mobility Jules White, a head teacher from West Sussex who has co-ordinated the Worth Less? school funding campaign, is calling for a much closer look at what the variation in funding really means for those outside the capital. The funding gap between West Somerset and Westminster, for an individual school, is the equivalent of dozens of extra teaching staff, afte"
uk-england-manchester-13699084,Macclesfield's Richard Butcher died from heart condition,"A professional footballer who was found dead in his bed died from a rare heart condition, a coroner has ruled.","Macclesfield Town midfielder Richard Butcher was discovered dead at his flat in Swinton, Salford in January. The Northampton-born player, 29, had suffered chest pains in the past three years, Bolton Coroner's Court heard. In a narrative verdict, assistant deputy coroner Peter Watson said Mr Butcher died from natural causes due to a naturally occurring heart condition. ""All deaths are tragic but especially in cases with someone so young and on the face of things he was a very fit and healthy young man, it is so sad that on the balance of probabilities he died from this cardiac condition,"" Mr Watson said. 'Fit and professional' A post-mortem examination showed he died of natural causes and there were no signs of heart disease. The player suffered from the condition cardiac arrhythmia - where the heart either beats too slow or too fast. Mr Butcher's wife Sarah told the hearing he ""dedicated his career to maintaining his health and fitness"". ""He used to delight in that the younger players would remark on how fit and professional he was,"" she said. Mrs Butcher said her husband had complained of chest pains on and off for about three years. ""Every now and then he would clutch his chest and then the pain would disappear,"" she said. 'No pain' ""He would say 'I'm so fit and healthy, it's fine' and he would dismiss it really."" He underwe"
business-36311126,UK inflation rate falls on cheaper air fares,"The UK's inflation rate fell in April for the first time since September, largely because of cheaper air fares after the Easter holidays.","The Office for National Statistics (ONS) said the rate, as measured by the Consumer Prices Index, fell to 0.3%. The ONS said the main causes were falls in the prices of air fares, vehicles, clothing and social housing rents. The Bank of England said last week that it expected inflation to increase in the second half of the year. By far the largest downward effect in April came from air transport, with prices falling by 14.2%, compared with a rise of 4.5% between the same two months last year. This was influenced by the timing of the Easter holidays in March. Fare prices increased dramatically between February and March this year and then fell sharply in April. The price of clothing and footwear also fell as retailers dropped prices to try to revive sales hit by last month's cold weather. An alternative inflation measure, the Retail Prices Index, which is still used to index some rents and pensions, also fell from an annual rate of 1.6% in March to 1.3% in April. Meanwhile core inflation, which strips out energy, food, alcohol and tobacco, fell to 1.2%, compared with economists' expectations for 1.4%. Interest rates Last week, the governor of the Bank of England, Mark Carney, had to write his sixth letter to the Chancellor George Osborne explaining why CPI inflation was"
uk-england-wiltshire-51383435,Driver reverses car through front door of Wiltshire house,An elderly woman has reversed a car through the front door of a house.,She wedged the vehicle into the front of the property in a village near Devizes in Wiltshire on Tuesday morning. Firefighters took two hours to rescue her and got her out from the back of the car. She was treated at the scene by the South Western Ambulance Service. A spokesman for 
business-26891682,Why bamboo is booming again in Taiwan,"Bamboo is ubiquitous in Chinese culture. Sturdy and tenacious, it symbolises virtue.","By Cindy SuiBBC, Taipei In fact, the plant has had a profound impact on the daily life, culture and spirituality of the Chinese. In the past, a wide variety of products were made from bamboo - from roof tiles and rafts, to shoes, furniture and agricultural tools. But despite the close relationship between Chinese-speaking societies and the natural material, Taiwan's bamboo industry has suffered a decline in recent decades. It nearly collapsed because of people's preference for more modern-looking products, or just cheaper plastic goods - and the impact of less expensive bamboo imports from China and South East Asia. Nowhere was this more apparent than in central Taiwan's Zhushan or ""Bamboo Mountain"" town. Hundreds of families used to make bamboo products there in the centre of the country's bamboo industry. Now there are only about 50. It's a trend reflected in other parts of Taiwan - only about 240 bamboo-products businesses remain on the island. ""In the past, every part of Taiwan had people working in this industry, but over the years, bamboo has been replaced by plastic or steel to make all sorts of products, such as clothes hanging poles, baby cribs, and furniture,"" says Yang Chun-hsien, director of the Forestry Bureau's reforestation and production division. However, an earthquake and strong resolve on the part of the government and industry to continue using bamboo have led to a revival and transformation in its use. In recent years, bamboo has been used to make items never before associated with the plant - from shampoo and insect repellent, to socks, gloves, and even roasted peanuts. This reinvention of how bamboo is used has made it possible for the small family businesses which make up the industry to stay alive and to start reversing the decades of decline. Health benefits? At the height of bamboo production in Taiwan in the 1970s, more than 13 million stalks were harvested each year, and sales of the stalks alone - not including the finished products - amounted to $3.5m (£2.1m) per annum. But in the past decade, the annual harvest amounted to only about 1.67 million stalks with sales adding up to just $456,000 - a little over 10% of the peak level. Production and sales, however, have been steadily climbing in recent years. Following a devastating earthquake on 21 September 1999 centred in Nantou county, where Zhushan lies, the central government decided to help the local economy by commissioning the country's non-profit Industrial Technology Research Institute (ITRI) to find new ways to help the bamboo industry grow. ITRI developed a method to carbonise bamboo stalks to produce high quality bamboo charcoal, which has a multitude of different uses. Naturally insulating, the charcoal can be turned into fibres and woven into fabric to make hats, scarves, gloves, socks and pants. Also said to be health giving, it is increasingly added to bodycare products, such as skin creams. Meanwhile, in industry it is used to purify water and air. Yet its most unusual application has to be in the production of bamboo charcoal-coated peanuts - which look exactly as they sound - peanuts covered "
uk-wales-37586646,Betsi health board pharmacy trial extended to help GPs,A trial to ease pressure on GPs by encouraging people to seek advice from pharmacists is being rolled out across north Wales.,"In the last year, 19 pharmacists carried out 2,000 consultations with people needing help for minor ailments. The Common Ailment Scheme (CAS) enables people to receive treatment from a pharmacist for things like head lice. Betsi Cadwaladr University Health Board said it was the first in Wales to extend the CAS to all its pharmacies. The roll-out begins "
uk-politics-55575627,"Capitol siege: Trump's words 'directly led' to violence, Patel says","Donald Trump's comments ""directly led"" to his supporters storming Congress and clashing with police, Home Secretary Priti Patel has said.","Four people have died after a pro-Trump mob stormed the building in a bid to overturn the election result. President Trump had urged protesters to march on the Capitol after making false claims of electoral fraud. Ms Patel said the president's words had fuelled the violence and he ""didn't do anything to de-escalate that"". Earlier, Prime Minister Boris Johnson condemned the ""disgraceful scenes"" and called for a ""peaceful and orderly transfer of power"". Mr Trump has since said there will be an ""orderly transition"" to Democrat Joe Biden, whose November election victory has now been certified by US lawmakers. But he added that he continued to ""totally disagree"" with the outcome of the vote, repeating his unsubstantiated claims of electoral fraud. 'Awful beyond words' Hundreds of the president's supporters stormed the Capitol - where lawmakers were meeting to confirm Mr Biden's election victory - and staged an occupation of the building in Washington DC. Both chambers of Congress were forced into recess, as protesters clashed with police and tear gas was released. Ms Patel told BBC Breakfast the scenes were ""awful beyond words"". The home secretary said: ""His comments directly led to the violence, and so far he has failed to condemn that violence and that is completely wrong."" She added: ""He basically has made a number of comments yesterday that helped to fuel that violence and he didn't actually do anything to de-escalate that whatsoever... what we've seen is completely unacceptable."" The home secretary added that America ""needs to move on"" and have the transition of power from Mr Trump to Mr Biden. A woman died after being shot by police, and three others died as a result of ""medical emergencies"", local police said. Politicians across the UK's political parties lined up to condemn the scenes in Washington. Mr Johnson tweeted: ""The United States stands for democracy around the world and it is now vital that there should be a peaceful and orderly transfer of power."" Labour leader Sir Keir Starmer said it was a ""direct attack on democracy,"" whilst Scottish First Minister Nicola Sturgeon called the events ""utterly horrifying"". Foreign Secretary Dominic Raab said there was ""no justification for these violent attempts to frustrate the lawful and proper transition of power"". But senior Welsh Conservative Andrew RT Davies has been criticised after comparing the rioting to politicians who supported a second referendum on Brexit. Mr Davies, "
uk-england-manchester-41284104,"Builder Michael McDonnell, jailed for 'dodgy' work","A ""dodgy builder"" whose shoddy work left a family unable to live in their dream home, has been jailed.","Michael McDonnell, 36, was convicted of engaging in unfair commercial practices by a Lancashire Trading Standards prosecution at Preston Crown Court. McDonnell, of Chorley Road, Standish, also admitted he falsely claimed membership of the Home Builders Federation. An expert witness said it was the ""worst"" case he had ever seen McDonnell not only carried out substandard work he conned his victims with fake claims that it had passed building inspections when none had taken place. Three customers, including the mother of Wigan Rugby League legend Shaun Edwards, paid out more than £200,000, said Lancashire Trading Standards. Angela Cartwright, 50, from Wrightington, Lancashire, said her husband invested his pension and the couple ploughed their life savings into the building work carried out by McDonnell. ""This is not just a dodgy builder - he grabs the money, leaves you with a mess and your dreams shattered,"" s"
uk-politics-45462900,Boris Johnson compares Chequers deal to 'suicide vest',"Boris Johnson has attacked Theresa's May's Brexit plan, saying she had ""wrapped a suicide vest"" around the British constitution and ""handed the detonator"" to Brussels.","In the Mail on Sunday, the former foreign secretary said the Chequers deal was ""feeble"" and ""pathetic"". He has been strongly criticised by some Tories - one minister said it marked a ""disgusting moment"" in politics. And Home Secretary Sajid Javid called for ""measured language"" to be used. Writing in the same paper, the current Foreign Secretary Jeremy Hunt called for people to rally behind Mrs May, backing her to hold the line ""in the face of intense pressure"". The UK is leaving the EU on 29 March 2019, and the government's plan - agreed at Chequers in July - has sparked criticism from Brexiteer Tories as well as the EU. In his article, Mr Johnson accused the EU of ""bullying"" the UK - but questioned why the response had been ""so utterly feeble"". He said that rather than getting a ""generous free trade deal"", Britain is saying, ""yes sir, no sir, three bags full sir"", to Brussels. ""At every stage of the talks so far, Brussels gets what Brussels wants,"" wrote Mr Johnson. ""It is a humiliation. We look like a seven-stone weakling being comically bent out of shape by a 500lb gorilla."" He said the reason for the UK's response was the ""insanity of the so-called backstop"" - the commitment by the UK and the EU to come up with a solution to avoid a hard border in Northern Ireland. However, his call to scrap the proposed backstop has been heavily criticised by Sinn Féin and the SDLP. Sinn Fein said Mr Johnson's comments were ""foolish and dangerous"", while the SDLP said he had ""absolutely no regard for people on this island"". The BBC's political correspondent Alex Forsyth said the ""scathing remarks"" by Mr Johnson showed his ""willingness to challenge the prime minister remains undimmed"" after recent revelations about his private life. It is Mr Johnson's second attack on the prime minister's Brexit strategy inside a week, as last Monday he said the Chequers deal ""means disaster"" for Britain - Downing Street responded to that attack by saying he had offered ""no new ideas"". 'Hurtful analogy' While Mr Javid voiced measured criticism of Mr Johnson, other Tories reacted more angrily to his remarks. Former Army officer and chairman of the Foreign Affairs Select Committee Tom Tugendhat graphically described the aftermath of a suicide bomb that had gone off near his office in Helmand province, Afghanistan. He said comparing such an attack to the PM's plans ""isn't funny"", adding: ""Some need to grow up"". Foreign Office Minister Sir Alan Duncan criticised his former boss, saying the article was ""one of the most disgusting moments in modern British politics."" If this latest broadside was not the end of Mr Johnson's political career, ""I will make sure it is later"", he said. Another Foreign Office minister, Alistair Burt,"
world-europe-20514194,France to back Palestinian bid for UN status,France has confirmed it intends to vote for Palestinian non-member status at the United Nations later this week.,"Foreign Minister Laurent Fabius said France had long backed Palestinian ambitions for statehood and would vote yes ""out of a concern for coherency"". The Palestinians are asking the UN General Assembly to upgrade their status from permanent observer to a ""non-member observer state"". Israel and the US oppose the move, due to be voted on later this week. They are concerned that the Palestinians are trying to seek full statehood via the UN, rather than through negotiation as set out in the 1993 Oslo peace accords under which the Palestinian Authority was established. Washington has warned that it could hinder rather than help future dialogue. Britain 'undecided' ""You know that for years and years France's consistent position has been the recognition of the Palestinian state,"" Laurent Fabius told the lower house of parliament. ""That is why when the question is raised on Thursday and Friday, France will respond with a 'yes'."" Backing international recognition of a Palestinian state was a campaign pledge made by Francois Hollande before he became France's president earlier this year. It was a policy first set out by Francois Mitterand in 1982, and has been pursued by Mr Hollande's predecessor Nicolas Sarkozy. However, Mr Fabius cautioned that the vote came at a delicate time - with a recent ""extremely fragile"" ceasefire between Israel and Hamas, looming Israeli elections and a new administration of re-elected US President Barack Obama. ""It's only with negotiations between the two sides that we demand immediately, without any preconditions, that a Palestinian state can become a reality,"" he said. France - a permanent member of the UN Security Council - is the first major European country to come out in favour of the move. Germany is expected to vote against, while the UK's ambassador to the UN, Mark Lyall Grant, said on Tuesday that London remained undecided. According to AFP news agency, Mr Lyall Grant told reporters the UK thought the Palestinians should delay the application, but was still in talks with the Palestinian Authority and would decide ""in due time"" how to vote. Austria says it will also back the Palestinian bid and claims that more than half of the European Union's 27 member states will vote for the proposal, AFP reports. Observers say the application is likely win approval in the 193-member UN General Assembly, as it needs only a simple majority to pass. Accor"
uk-wales-39231826,How Bristol's major trauma centre works,"Wales is to get its first major trauma centre, which will have a specialist medical team on call 24 hours a day for the most serious emergencies.","Across the Severn Bridge, Bristol has operated one of two major trauma centres (MTC) for the south west of England since 2012 - along with Derriford in Plymouth. It is estimated survival rates have improved by 30%. It started at the old Frenchay hospital before moving to the new £430m Southmead super-hospital four miles away in 2014. A cluster of six other hospitals - including Bristol Royal Infirmary - operate as major trauma units in a network around it. But Southmead, one of 27 MTCs across England, is in line to take the most critical cases first - involving up to 1,500 patients a year. Dr Ben Walton, consultant in intensive care medicine, said it offered a consistency of service which was not possible before. ""The feeling when these centres were first set up in London it would take five years to see improvements - we've seen it in 18 months,"" he said. ""In the past, if a patient was seriously injured in a road traffic collision or fell at home, they'd be taken to the nearest hospital with an emergency unit. ""Now, if they fulfil certain criteria and the assessment of the ambulance or pre-h"
uk-england-york-north-yorkshire-18391545,Clean-up after flash flooding in North Yorkshire,Fire engines have pumped water out of properties in North Yorkshire after heavy rain caused flash flooding.,"North Yorkshire Fire and Rescue Service said crews dealt with flooding in properties in and around York. Two engines attended incidents in the town of Boroughbridge, while three more dealt with flooding in 15 homes in the Badger Hill district of York. The Environment Agency said a flood alert is in place for the River Foss in York. The incidents on Sunday happened on the second day of flooding in the area. Damage was caused to homes and some businesses and h"
uk-england-bristol-22261107,Car-free Sundays in Bristol to start in June,"Car-free Sundays in Bristol's city centre will start in June, the mayor has announced.","George Ferguson said the idea was not about ""closing roads but opening them to people"" and said he hoped to see ""entrepreneurial activity"". The scheme was originally due to run weekly but will run once a month due to operating costs of £195,000. Baldwin Street, King Street and all roads in the Old City will be closed during car-free Sundays. Mr Ferguson said five days were planned this summer, with the first on 23 June. The £195,000 cost covers all five days. 'Suck it and see' He said he had been inspired by similar schemes in Bordeaux in France and Bogota in Colombia. ""I'm very keen on taking a 'suck it and see' approach and this is why we're starting on a monthly basis - if it's a success we'll move it into a weekly basis,"" Mr Ferguson said. ""I want people to feel their way and see how they to respond to it. ""It will have some costs in the early stages while we set it up, but in tim"
uk-england-47318094,Birmingham pub bombings: Jury sworn in for inquests,"A brother and sister whose father was among the victims of the Birmingham pub bombings say they are hoping for ""the truth"" from the resumed inquests.","Two bombs ripped through the Mulberry Bush and Tavern in the Town pubs on 21 November 1974, killing 21 and injuring 220. A jury was sworn in earlier as the inquests reopened after a long fight by families. Paul Anthony Bridgewater and Michelle Sealey are among relatives attending. Mr Bridgewater, whose father Paul Anthony Davies died in the bombings, said: ""The coroner has ruled out a lot of things but we want the truth really. ""We want the truth and we want to know what happened back then. It's been too long and there's that many theories out there and unanswered questions as well."" Coroner Sir Peter Thornton said the jury of six women and five men had an ""important civic duty"" as he adjourned the inquests until Tuesday. The individual inquests could last up to six weeks, the coroner said. The jury will return verdicts on how all victims died. The hearings began with a minute's silence. Sir Peter said the inquests would not deal with the issue of who planted the bombs, adding that was a ""task of police, prosecutors and the criminal courts"". He said although a single hearing, lasting up to six weeks, the inquests would deal with ""21 separate people, 21 separate lives lost from two terrible events"". Jurors, sitting at Birmingham Civil Justice Centre, were told they would hear evidence from only a few eyewitnesses because some were ""no longer alive"". Sir Peter added: ""They will be doing their best to recollect events accurately, but we all know memory will sometimes have gaps."" He said there would be details of the so-called ""forewarning issue"", and evidence the British authorities may have received information signalling the attacks, including an alleged tip-off concerning a ""possible conversation in a local prison nearly two weeks before"". Jurors would also hear an account of ""evidence of a students' visit to a police station the evening of the bombings, which was cancelled"", Sir Peter said. Mr Bridgewater said the loved ones of victims had formed close bonds. He said: ""We are a like a close-knit family and that's what bonds us and keeps us strong."" His sister Ms Sealey added: ""It's the knockbacks that make you want to push forward even more because there is something there that we need to find out."" Inquests were opened days after the bombings but adjourned because the case was subject to a criminal investigation. The Birmingham Six were jailed for the murders and served 17 years behind bars before their"
world-us-canada-46102723,US mid-terms latest: Five things we learned,"The dust is settling on the results of the US mid-term elections, and it's a tale of two chambers.","By Anthony Zurcher & Roland HughesBBC News In the end, it was very much as expected - Democrats took control of the House of Representatives for the first time since 2010, and Republicans held the Senate. There were no major shocks, but plenty of intrigue, and indications of what might happen over the next two yea"
uk-england-devon-55617469,Covid-19: Hundreds of rule breaches in Devon and Cornwall,"A deputy chief constable has said ""people are beginning to flout"" lockdown rules, following hundreds of coronavirus breaches over the weekend.","""People are beginning to get fed up with it and I can understand that, but we have to be firm,"" said Devon and Cornwall Police's Paul Netherton. A control room supervisor tweeted that he had dealt with more than 250 coronavirus rule breaches on Saturday. Government guidance says unless it is necessary you must not leave your home. ""People know what the rules are by now"" but ""they're beginning to think how can I get away with the rules rather than abide by them,"" said Mr Netherton. He said police officers do not want to be seen as ""draconian"", but they are going out to tell people that by mixing, the disease is continuing to spread. ""So in Devon and Cornwall, we are stopping people"" and ""having to make a really difficult judgement about what is reasonable and what is not"". ""But the key message remains, stay at home."
uk-england-surrey-13638264,"Surrey library borrowers owe £700,000 in unpaid fines","Surrey County Council is owed more than £700,000 in unpaid library fines.","The Conservative-controlled local authority said the problem of outstanding fines was a ""thorn in the side of librarians"". The council is currently proposing to devolve the running of 11 libraries to the community to save money. Gillian Woods, a campaigner from the save Warlingham Library Group, s"
uk-england-birmingham-47369428,"Bordesley Green stabbing: Murder arrest of boy, 16",A 16-year-old boy has been arrested on suspicion of murder after a teenager was stabbed to death in Birmingham.,"Hazrat Umar, 18, was found fatally injured in Norwood Road in Bordesley Green at about 14:00 GMT on Monday. He died at the scene. West Midlands Police said a 16-year-old boy, from Birmingham, was arrested on Monday night and remains in custody. The force said officers were supporting the victim's family and a post-mortem examination was due to take place. Officers are using special stop and search powers - where they believe there is a risk of violence or weapons are being carried - in Bordesley Green as well as the city centre and Small Heath, until 04:00 GMT on Wednesday. The family of Mr Umar, a South and City College Birmingham student, who lived in Bordesley Green, said they were in shock. Uncle Akbar Afzal said: ""He was a very pleasant lad and it is really shocking what has happened. ""Not just for himself, but there are other young lads getting stabbed for no apparent reason whatsoever and they are educated lads as well. ""I don't understand what is happening."" Teenagers Abdullah Muhammad and Sidali Mohamed have also been stabbed to death in Birmingham this month. Mr Umar was a relative of former chief prosecutor for North West England Nazir Afzal. ""I don't want any other "
